epoch,train_loss,val_loss,mean_val_mse,mean_val_r2,mean_val_pearson,mean_val_expr_change_pearson,mean_val_log2fc_pearson
1,0.3438108991182859,0.3336600982704409,0.3338147,0.93589216,0.9677990449565349,0.9463148395993694,0.9996187937243646
2,0.329249549282724,0.3293523365709464,0.3295034,0.93680656,0.9682017460995972,0.9470704667919922,0.9996230264445184
3,0.3254438725870047,0.32748390642359526,0.32762846,0.9371099,0.9683828578471286,0.9473740159331632,0.9996245054891957
4,0.3233565800966908,0.3265108425562709,0.32665065,0.93734056,0.968521131224889,0.9476343143862662,0.9996225437827368
5,0.32190110014742285,0.32518736452278985,0.3253318,0.9375531,0.9686445181076843,0.9478480421633784,0.9996235840910068
6,0.32068975781326864,0.32481203819245513,0.3249477,0.93760943,0.9686868676483819,0.9479266534022222,0.9996261870734914
7,0.319773060483719,0.32515172512227924,0.32529357,0.93755794,0.9686519029702718,0.9478544397700415,0.9996260837653582
8,0.3192821080708385,0.3250692007733624,0.32520828,0.93752337,0.9686781551703839,0.9478826689755611,0.9996258757057351
9,0.31849704969729953,0.3239066806394111,0.32404685,0.9377923,0.9687556962173077,0.9480216901783748,0.9996274822627433
10,0.318162166998161,0.3234157132107031,0.3235549,0.93787116,0.9688226103313354,0.9481851433944111,0.9996272156059364
11,0.317430093261733,0.3238453302776837,0.32398233,0.9377845,0.9687906840994346,0.9480897379367167,0.9996273111412217
12,0.3169177237583037,0.323935491190279,0.32406816,0.9377524,0.968765102478621,0.9480720082560514,0.9996270371105784
13,0.3166754012751342,0.32310110069885406,0.32323843,0.93788064,0.9688459899313022,0.948170156922525,0.999628291886026
14,0.3161424640473442,0.3238944984809542,0.32402554,0.9377221,0.9687778645111361,0.9480549729654457,0.9996256119935524
15,0.315672366973476,0.32304336317253873,0.3231831,0.93796694,0.9688499258314087,0.9481731488922948,0.999624397411615
16,0.31539402744218487,0.322811686524577,0.32294855,0.9380094,0.9688978093487781,0.9482941313436198,0.9996240713581596
17,0.3150136898183704,0.32315545951277314,0.32329187,0.937938,0.9688409025279949,0.9481683195800005,0.9996260163845442
18,0.3146515368154986,0.3225519682315898,0.32268625,0.93803,0.9688908119021041,0.9482800610964589,0.9996266242561315
19,0.3146889278396445,0.3235525962846654,0.32367867,0.9377936,0.968832203200567,0.9481927198847317,0.999625138975962
20,0.3142025597727121,0.3220237004709528,0.32215267,0.938079,0.9689545817942616,0.9483728345438901,0.9996270552230814
21,0.31408867726278544,0.3222822172504296,0.3224151,0.9380768,0.9689412019862133,0.9483661317546422,0.9996264679476927
22,0.3138712898786388,0.32207804423558783,0.32221085,0.9380928,0.9689607281834621,0.9483758938928252,0.9996268095901367
23,0.31354488697811145,0.32332422849435216,0.32345033,0.9378585,0.9688377799047628,0.9482096666958413,0.9996274234702953
24,0.31356028867746466,0.3220955640907079,0.32222468,0.93807596,0.9689713645761985,0.9484268217828532,0.9996263516640169
25,0.3131877674985288,0.32289109356834683,0.32302436,0.93791234,0.9689097217643725,0.948337237688003,0.9996256374505625
26,0.31303571136436653,0.32267980007954666,0.32281372,0.9379681,0.9689138061603456,0.9483212383885381,0.9996239680172416
27,0.3128787457572287,0.32233881183101926,0.32246935,0.9379856,0.9689361211724405,0.9483991139602816,0.9996240587451015
28,0.31269196659623094,0.3230799319552143,0.32320645,0.93786675,0.9689004161880505,0.9483011191157639,0.9996213584026334
29,0.31250197965262544,0.323487831512929,0.32361752,0.9378281,0.9688400705483609,0.948192129515028,0.9996214907213604
30,0.3123453375637828,0.3218550786050129,0.3219887,0.93814147,0.9689539610492935,0.9483948489602241,0.9996272922462864
31,0.31213550705518295,0.3229581356404079,0.32308146,0.9378959,0.9688935108575175,0.9482774368895145,0.9996259620993079
32,0.311947950387179,0.32206654498283244,0.32219124,0.9380428,0.968996560131042,0.9484551980569278,0.9996263378262699
33,0.311956217951739,0.3221503128529069,0.32228202,0.93803704,0.968968356772909,0.9483686425588282,0.9996249468757985
34,0.31172517894660656,0.32250116990645883,0.3226361,0.9380044,0.9688990101210241,0.9483069780208758,0.9996261677087962
35,0.31157849318352504,0.324465124199452,0.32458672,0.93758625,0.9687466365586611,0.9480182705253541,0.9996240991403451
36,0.31154807413098823,0.32265276949163935,0.3227813,0.93793905,0.9689353575957409,0.9483433985655503,0.9996256583629044
37,0.3112993457498242,0.32261223785919885,0.32274598,0.937977,0.9689101437639233,0.9483184359328173,0.9996241061116813
38,0.3111711507931871,0.32241142444890253,0.3225438,0.93805254,0.9689096054444669,0.9483285128625127,0.9996262719236828
39,0.31101478487253187,0.32194769666872725,0.32208675,0.93810564,0.9689773415739928,0.9484387886213164,0.9996248149982296
40,0.3110206451582078,0.3221665394768326,0.32229713,0.9380579,0.9689287422584371,0.9483779975842471,0.9996244975674987
41,0.31082676635749307,0.32202881420582946,0.32216093,0.9380869,0.9689882329782964,0.9484193957461103,0.9996266539592275
42,0.3110866492289809,0.3224666502852563,0.32260123,0.93803024,0.9688740742570084,0.9482712989968324,0.9996244662104472
43,0.3107889184459525,0.32156520113200837,0.32169926,0.93816227,0.9689881125112434,0.9484517773533727,0.999627788733614
44,0.31078150845433944,0.32187873682018303,0.32201368,0.938121,0.9689716384818479,0.9484263509188153,0.999624981373799
45,0.31052797459696063,0.3233857259124695,0.32351485,0.93781,0.9688871077673809,0.9483140642922913,0.999624557654983
46,0.3103974300311573,0.3223887647596553,0.3225122,0.937997,0.9689314872086138,0.9483554531153153,0.9996262542017608
